,yr,mo,dy,date,time,mag,slat,slon,radar,radar_dist,datetime,max_dbz,mean_dbz,max_zdr,mean_zdr,min_zdr,mean_cc,min_cc,count_30dbz,count_50dbz,count_60dbz,ratio_50_30,ratio_60_50,zdr_range,sig
327,2017,4,2,2017-04-02,13:10:00,1.0,31.29,-92.46,KPOE,51.36442694098904,2017-04-02 13:10:00,63.5,40.1,4.9375,1.8,-1.9375,0.96,0.2083333283662796,13474,1735,22,0.1287569573283859,0.012672811059907835,6.875,0
328,2020,7,11,2020-07-11,18:35:00,1.0,41.41,-90.02,KDVN,50.53585529293932,2020-07-11 18:35:00,69.0,42.2,4.9375,1.7,-1.9375,0.97,0.2083333283662796,17528,2582,26,0.1472987620514576,0.010065814943863724,6.875,0
329,2020,9,25,2020-09-25,18:10:00,1.5,35.84,-78.85,KRAX,38.97192451772428,2020-09-25 18:10:00,61.5,37.1,4.9375,0.7,-1.96875,0.98,0.2083333283662796,7119,344,4,0.048314606741573035,0.011594202898550725,6.90625,0
330,2014,6,24,2014-06-24,20:20:00,1.75,39.6,-104.17,KFTG,38.23476133513459,2014-06-24 20:20:00,68.5,41.8,4.9375,2.1,-1.9375,0.97,0.2083333283662796,5997,1177,180,0.1962320773591197,0.15280135823429541,6.875,0
331,2017,4,10,2017-04-10,12:18:00,1.0,41.72,-87.75,KLOT,32.53337651023642,2017-04-10 12:18:00,68.0,39.8,4.9375,3.1,-1.9375,0.98,0.2083333283662796,11282,1421,102,0.12594168217672605,0.07172995780590717,6.875,0
332,2013,8,1,2013-08-01,14:15:00,1.0,34.62,-82.31,KGSP,31.065576241460523,2013-08-01 14:15:00,61.0,40.7,4.875,1.3,-1.9375,0.98,0.2083333283662796,6605,926,3,0.14017559794126552,0.003236245954692557,6.8125,0
333,2014,4,2,2014-04-02,20:24:00,1.75,37.52,-97.13,KICT,30.44982762808398,2014-04-02 20:24:00,67.0,43.0,4.9375,2.2,-1.9375,0.97,0.2083333283662796,15016,3129,214,0.20836385429846174,0.068370607028754,6.875,0
334,2016,5,2,2016-05-02,16:27:00,1.0,38.67,-77.34,KLWX,34.72952541306833,2016-05-02 16:27:00,70.0,43.0,4.9375,2.0,-1.9375,0.97,0.2083333283662796,10285,2406,369,0.23391016916196772,0.15330286663896966,6.875,0
335,2014,12,23,2014-12-23,13:47:00,1.0,34.4421,-85.87,KHTX,55.04748109042507,2014-12-23 13:47:00,55.0,37.1,3.875,0.8,-1.3125,0.99,0.8849999904632568,2736,67,0,0.024479356960175374,0.0,5.1875,0
336,2014,5,10,2014-05-10,16:10:00,1.75,38.51,-96.26,KTWX,53.34892376040192,2014-05-10 16:10:00,65.0,41.8,4.9375,2.3,-1.9375,0.98,0.4583333432674408,4903,956,87,0.19494290375203915,0.09090909090909091,6.875,0
